book_id,book_title,subject,chapter_id,chapter_title,chapter_order,item_id,item_title,item_order,key_points,full_text,page_reference
eng-01,大岩のいちばんはじめの英文法,英語,ch00,品詞 ~基本4品詞 (名詞・動詞・形容詞・副詞) ~,0,ch00-item01,導入：基本4品詞の重要性,1,英文法学習は品詞から始める;基本4品詞は名詞・動詞・形容詞・副詞;英文は基本4品詞で構成される,どうもどうも！\n文法を整理して覚えたい人は、\nヤッパリ「品詞」から始めないとね！\n今回の主役、\n4つの品詞\n①名詞　②動詞　③形容詞　④副詞\n\n英文法の学習で一番最初におさえてほしいのが、この品詞なんだよね。\n品詞はどんな授業を受けていても必ず必要になるので、\n最初にシッカリとわかるようにしちゃいませんか！\n特にボクの授業では、これから学ぶすべての文法事項を、\n今回の主役である名詞・動詞・形容詞・副詞の4つに分けて考えるテクニックを伝授するので、品詞がわかっているとメキメキと上達していくからね。▼\n\n…おお、お待ちしておりました、その疑いのまなざし！！！\nウソかホントかは、この本の授業が終わればわかるけど、\n「ホント」なので安心してくださいね。\nそして、ムチャクチャ簡単なので、さらに安心していいからね。\nさあ、準備はよろしいでしょうか？\nそれでは、さっそく名詞からいってみましょう！\n\n補足\n\nこの4品詞が英文法のメイン！\n英文は基本的に、名詞・動詞・形容詞・副詞の4つをメインにしてできてるの。つまり、英語で何かを相手に伝えるとき、この4つを中心に考えて英単語を並べればいいのよね。だからこの4品詞はとっても大事！シッカリおさえておいてね！,P14
eng-01,大岩のいちばんはじめの英文法,英語,ch00,品詞 ~基本4品詞 (名詞・動詞・形容詞・副詞) ~,0,ch00-item02,名詞：定義と種類 (数えられる/数えられない),2,名詞は人・モノ・事柄の名前;英語の名詞は数えられる/数えられないを意識;数えられる名詞は単数形(a/an)と複数形(s/es)がある;数えられない名詞は常に単数形;数えられる/数えられないの見分け方(破片にした時の名前変化),1 名詞\n\n「名詞」って聞いたことあるかな？\nこれはね、人やモノや事柄などの名前を表す言葉のこと。\n例えば、 Michael や Ann などという人の名前とか、\ndog（犬）、desk（机）、banana（バナナ）、idea（考え）、fire（炎）、accident（事故）などだね。\nこれらは全部「名詞」という品詞なんだよ。\nでね、この名詞について日本語と英語で全然違う点は、\n英語の名詞はそれが「数えられるモノなのか、数えられないモノなのか」を意識することが大切だということ！！！\n名詞には数えられる名詞と数えられない名詞があるわけだね。\n…で、数えられる名詞の場合、\n単数 (1つ) なら a [an] などが名詞の前に付く単数形になり、\n複数 (2つ以上) なら複数形という形になるんだ。\n※ 「a[an] の付け方」「複数形の作り方」は巻末資料23 (P.221) を参照！\nちなみに、数えられない名詞は、複数になるはずがないので、\n常に単数形 (a [an] は付かない) が基本だからね。\n\n●POINT\n\n名詞の単数と複数\n\n数えられる名詞\t数えられない名詞\n単数 (1つ) → 単数形 (a[an] などが前に付く)\t常に単数形 (a [an] は付かず形は変わらない)\n複数 (2つ以上) → 複数形 (語尾に s[es] が付く)\t\n\nGoogle スプレッドシートにエクスポート\nところで数えられる名詞と数えられない名詞の見分け方って知ってる？\npencil（鉛筆）は数えられる名詞だよね。1本、2本…って。\nじゃあ、chalk（チョーク）は数えられる？\n…そのとおり！！！実は、chalk は数えられない名詞なんだよね。\n数えられる名詞とは、\n「破片にしたときに名前が変わってしまう名詞」だと考えるといいよ。\n鉛筆は破片にしたら「木のクズ」に名前が変わるよね。\nでも、チョークは破片にしてもチョークのままだし、\n服にちょっと粉がついてても「チョークがついてるよ」って言うもんね。\n\n一方、鉛筆の破片が服についてても、\n「わお！鉛筆つけてオシャレさんじゃん！」とは言わないでしょ！？\n\npencil（鉛筆）\tchalk（チョーク）\n名前が変わる (木のクズ) → 数えられる\t名前が変わらない → 数えられない\n\nGoogle スプレッドシートにエクスポート\nこの chalk のように、どんなに小さく、少量にしても名前が変わらない名詞は数えることができないというのが基本だからね。\n※ちなみに、この考え方ができる名詞を物質名詞と呼ぶこともある (例: water [水]、wood [木]、air [空気]、bread [パン]、paper [紙]、money [お金] など)。\n\n名詞は単数形・複数形を常に意識しましょう！\n\nさて、ここまでは大丈夫！？ここからが本番！\n頑張ってついてきてよ！では、次は動詞にいってみよう！,"P15, P16"
eng-01,大岩のいちばんはじめの英文法,英語,ch00,品詞 ~基本4品詞 (名詞・動詞・形容詞・副詞) ~,0,ch00-item03,動詞：定義と役割,3,動詞は主語の動きや状態を表す;英文読解では動詞に注目することが大事;主語は文の主人公(〜は/〜が)で名詞がなる,2 動詞\n\n動詞って何かわかる？\n答えは「主語の動きや状態を表す言葉」のことなんだ。▼\n例えば、 run（走る）、sleep（眠る）、act（行動する）、live（住んでいる）のような言葉だね。\nちょっと動詞の例を見てみようか。\n\n例文 1\n\nMop played with Bean yesterday.\n（モップは昨日ビーンと遊んだ。）\n\n補講\n\n主語とは文の主人公のこと！\n主語とは、日本語にしたときに「〜は」や「〜が」にあてはまる、その文の動作の主のことなの。例えば、「私は勉強する」は「私は」が主語で、「あなたが行く」は「あなたが」が主語になるわね。名詞だけが主語になれるのよ。\n\nこの文の主人公 (主語) は「Mop」という名前のキツネで、\n行動は「played（遊んだ）」だよね。\nこのように、主人公の動きや状態を表す言葉を動詞というんだよ。\n英文を読んだり書いたりするときは、\n主人公が何をしたのかというのが一番大事になってくる。\nだから、英文を読むときは、動詞に注目することが大事になるから、\nこれシッカリ覚えておいてね。\n動詞に関しては第12講でみっちりやるのでお楽しみに！\nさあ、だんだん調子が出てきた頃じゃない？\nこの調子で形容詞も征服しちゃおうか！,"P16, P17"
eng-01,大岩のいちばんはじめの英文法,英語,ch00,品詞 ~基本4品詞 (名詞・動詞・形容詞・副詞) ~,0,ch00-item04,形容詞：定義と役割,4,形容詞は名詞を飾る(修飾する)言葉;名詞の性質や状態を説明し具体像を伝える,3 形容詞\n\n実はこのへんから「?????」となる人がムチャクチャ多い！\nでも大丈夫！あと5分後にはシッカリ理解できてるからね！\n形容詞っていうのはね、名詞を飾る (説明する) 言葉のことなんだ。\n名詞を飾ることを粋な言葉でいうと、名詞を修飾するともいうよ。\n例えば、 large（大きい）、small（小さい）、happy（幸せな）、beautiful（美しい）、merry（陽気な）、important（重要な）などが形容詞だね。\n…ところで、名詞を飾る (説明する) ってどういうことだろう？\n\n例 large planet\n\nこの例を見てみると、planet が名詞だっていうのはわかるよね。\nじゃあ、planet の前にある large は何だろう？って考えてみて。\nこの large は、名詞の planet が「一体どんな planet なのか」、\nということを説明しているでしょ！？\n確かに、一言で planet といっても、\nlarge planet（大きい惑星）や small planet（小さい惑星）もあるし、\nさらには blue planet（青い惑星）なんてのもある。\nだから、ただ「planet」って言われても、どんな「planet」なのか、\nいまいちピンとこないよね。\n\nそんなとき、\n「planet は planet でも、large planet なんだ！」\nというふうに、形容詞は名詞を説明して、\n相手に具体的なイメージを伝える働きをするわけだね。\n\nlarge → planet (説明)\nこのように、名詞の性質や状態を説明する言葉を形容詞というんだね。\nさ、ここまではいいかな？\n次が最後の品詞、副詞だよ！\nこれが終わったらいよいよ本格的な授業に入っていくからね！,"P17, P18"
eng-01,大岩のいちばんはじめの英文法,英語,ch00,品詞 ~基本4品詞 (名詞・動詞・形容詞・副詞) ~,0,ch00-item05,副詞：定義と役割,5,副詞は名詞以外(動詞・形容詞・副詞・文全体)を飾る(修飾する)言葉,4 副詞\n\n副詞は名詞以外を飾る (説明する) 言葉のこと。\n名詞以外っていうのは、動詞・形容詞・ (他の) 副詞・文全体などのことだけど、とりあえず「名詞以外」と覚えた方が簡単だよね。\n飾る (説明する) ってことの考え方は形容詞と同じ。\nただ、形容詞は名詞を飾ったけど、\n副詞は名詞以外を飾るってところがポイントになるからね。\n例えば、 very（とても）、fast（速く）、often（しばしば）、always（いつも）などが副詞だよ。\n\n例 very beautiful mountain\n\nこの例を見てみると、mountain が名詞だね。\nで、beautiful はその mountain を飾っているから、形容詞だよね。\nそれでは、very は何を飾ってる？\n… mountain ？\nそうそう、very は mountain を飾って「とても → 山」って……\nそれじゃあ意味わかんねーでありますセンパイ！！！(泣)\nもちろん、very は beautiful という形容詞を飾って、\n\nvery → beautiful → mountain (とても美しい山)\n  (説明)     (説明)\nということで、名詞以外 (ここでは形容詞) を飾っているから、\nvery は副詞ってことになるんだ。バッチリ？\n※副詞の入る位置がよくわからない人は巻末資料4 (P.222) へGo！,"P18, P19"
eng-01,大岩のいちばんはじめの英文法,英語,ch00,品詞 ~基本4品詞 (名詞・動詞・形容詞・副詞) ~,0,ch00-item06,その他の品詞と基本4品詞の重要性,6,代名詞・冠詞・前置詞・助動詞・接続詞・疑問詞も存在する;最も重要なのは基本4品詞;他の品詞も最終的に基本4品詞に関連付けられる,"ちなみに、この名詞・動詞・形容詞・副詞以外には、\n次のような品詞もあるよ。\n\n品詞名\t単語の例\n代名詞\tI, you, he, she, they, it\n冠詞\ta, an, the\n前置詞\tto, for, in, on, at, of, from\n助動詞\tcan, may, must, should\n接続詞\tand, or, but\n疑問詞\twhat, when, who, where, how\n\nGoogle スプレッドシートにエクスポート\nただ、品詞は色々あるけど、一番大事なのはやっぱり\n「名詞・動詞・形容詞・副詞」の4つだからね。\nどのくらい大事かって？\nそりゃあ、あの日あの時あの場所で、\nあの人にもらった想い出くらい大事でしょ！\n…はい伝わらない…と。\nまあ、それはさておきまして、なぜ4つの品詞が大事かというと、\n前置詞は形容詞や副詞のカタマリを作ったり、\n接続詞は副詞や名詞のカタマリを作ったりと、\n結局すべて名詞・動詞・形容詞・副詞の4つに分けることができるからなんだ。(詳しいことはこのあとの授業でやるからね)\nというわけで、かなりハイスピードで片づけたけど、\nちゃんとこの基本の4つの品詞が頭に入ったかどうか、\n次のページの CHECK問題で確認してみようか！",P19
eng-01,大岩のいちばんはじめの英文法,英語,ch00,品詞 ~基本4品詞 (名詞・動詞・形容詞・副詞) ~,0,ch00-item07,第0講のまとめとCHECK問題,7,名詞は名前;動詞は動き/状態;形容詞は名詞を飾る;副詞は名詞以外を飾る;CHECK問題で理解度確認,第0講 品詞\n\n第0講のまとめ\n\n★名詞…人やモノや事柄の名前を表す言葉\n★動詞…主語の動きや状態を表す言葉\n★形容詞…名詞を飾る (説明する) 言葉\n★副詞…名詞以外を飾る (説明する) 言葉\n\n問1 次の名詞が数えられる名詞なら①、数えられない名詞なら②と答えなさい。\n\n1. freedom\n2. paper\n3. statue\n4. water\n5. rabbit\n問2 次の英単語の品詞を、下の選択肢 ① ~ ④から選びなさい。\n①名詞　②動詞　③形容詞　④副詞\n6. marry\n7. careful\n8. repair\n9. peace\n10. museum\n11. politely\n12. depend\n13. finally\n14. important\n15. automobile,P20
eng-01,大岩のいちばんはじめの英文法,英語,ch00,品詞 ~基本4品詞 (名詞・動詞・形容詞・副詞) ~,0,ch00-item08,CHECK問題 解答・解説,8,抽象名詞は数えられない;物質名詞は数えられない;各単語の品詞分類の根拠,【解答・解説】\n\nここがポイント！\n\npeace（平和）、advice（忠告）、information（情報）などのように、具体的な形がなく、抽象的な概念の名前を表す名詞を抽象名詞というんだ。抽象名詞は具体的な形がないから数えることはできないよね。\n\n問1 解答\n\n1. 正解 = ② ★ 「自由」という抽象的な概念なので数えられない。\n2. 正解 = ② ★ 「紙」は小さくやぶっても名前が変わらない物質なので数えられない。\n3. 正解 = ① ★ 「彫像」は「1体、2体」と数えることができる。\n4. 正解 = ② ★ 「水」は少量でも大量でも名前が変わらない物質なので数えられない。\n5. 正解 = ① ★ 「ウサギ」は「1羽、2羽」と数えることができる。\n問2 解答\n6. 正解 = ② ★ 「〜と結婚する」という行動なので動詞。\n7. 正解 = ③ ★ 「注意深い → 人」のように名詞を飾るので形容詞。\n8. 正解 = ② ★ 「〜を修理する」という行動なので動詞。\n9. 正解 = ① ★ 「平和」は抽象的な概念の名前なので名詞。\n10. 正解 = ① ★ 「博物館」はモノ (建物) の名前なので名詞。\n11. 正解 = ④ ★ 「丁寧に → 話す」のように名詞以外を飾るので副詞。\n12. 正解 = ② ★ 「頼る」という行動を表すので動詞。\n13. 正解 = ④ ★ 「ついに → 終わる」のように名詞以外を飾るので副詞。\n14. 正解 = ③ ★ 「重要な → 書類」のように名詞を飾るので形容詞。\n15. 正解 = ① ★ 「自動車」というモノの名前なので名詞。,P21
eng-01,大岩のいちばんはじめの英文法,英語,ch01,動詞 ① ~be 動詞と一般動詞の区別~,1,ch01-item01,導入：動詞の重要性と種類 (be動詞/一般動詞),1,動詞は英文の形を決める重要な要素;動詞は主語の動きや状態を表す;動詞はbe動詞と一般動詞に大別される,いよいよ本格的な授業開始!\nこの講では「動詞」を\nシッカリと理解していこう!\n\n今回の主役\nビー\nいっぱん\nbe動詞と一般動詞\nと\n\n英文の形 (英語の並び方) にはいくつかのパターンがあるけど、\nそのパターンは、 「動詞が何か」 で決まることが多い。\n動詞は英文の形を決めるという重要な働きをしているんだよ。\nつまり 「動詞がわかる=英語がわかる」 と言っても過言じゃないよね!\n\n動詞とは主語の動きや状態を表す言葉のことで、\n大きく be動詞と一般動詞の2つに分けることができるんだよ。\nまずはbe動詞からいってみよう。,P22
eng-01,大岩のいちばんはじめの英文法,英語,ch01,動詞 ① ~be 動詞と一般動詞の区別~,1,ch01-item02,be動詞：定義と用法 (イコール関係),2,"be動詞はam, is, are, was, were, be, been;主語とbe動詞直後の名詞/形容詞はイコール関係を示す;「〜です」「〜である」と訳されることが多い",I be動詞\n\nbe動詞とは、 be am is are 、 was were been のこと。\nそして、主語とbe動詞の直後にある名詞や形容詞は主語とイコールの\n関係だよとボクたちに教えてくれたり、 主語の存在を表したりと、\n色々な場面で大活躍する動詞なんだよね。\n\n例文1を見てみよう!\nI am a high school student.\n私は高校生です。\n例文 1\n\nこの文の動詞は? ...そう、 am だよね。\nam は be動詞だから、 主語と後ろの名詞 a high school student は\nイコールですよってことになるんだ。\n\nI am a high school student.\nI = a high school student.\n\n「私=高校生」 なので、 「私は高校生です」 という感じになるわけだね。\nこのように、 be動詞はイコールの関係を表すので、\n「〜です」「~である」 などと訳されることが多いんだね。,"P22, P23"
