question_id,book_id,chapter_id,set_id,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,difficulty,question_type
E01-C00-01-001,eng-01,ch00,E01-C00-01,英文法の学習において、最初に理解しておくべき最も基本的な4つの品詞の組み合わせとして正しいものはどれですか？,名詞、動詞、形容詞、前置詞,名詞、動詞、形容詞、副詞,名詞、代名詞、動詞、接続詞,動詞、形容詞、副詞、冠詞,B,本文P14で解説されている通り、英文法の基本となる4つの品詞は名詞、動詞、形容詞、副詞です。これらは文の主要な構成要素となります。復習はP14、P19を参照してください。,1,multiple_choice
E01-C00-01-002,eng-01,ch00,E01-C00-01,「人やモノや事柄などの名前を表す言葉」と定義される品詞は何ですか？,名詞,動詞,形容詞,副詞,A,名詞は、人(Michael)、モノ(desk)、事柄(idea)などの名前を表す言葉です。復習はP15を参照してください。,1,multiple_choice
E01-C00-01-003,eng-01,ch00,E01-C00-01,英語の名詞において、日本語と大きく異なり、特に意識する必要があると述べられている点は何ですか？,発音の仕方,数えられるか数えられないか,男性名詞か女性名詞か,単語の長さ,B,英語の名詞は「数えられる名詞」と「数えられない名詞」に分けられ、これを意識することが重要です。数えられる名詞には単数形と複数形があります。復習はP15を参照してください。,1,multiple_choice
E01-C00-01-004,eng-01,ch00,E01-C00-01,数えられる名詞と数えられない名詞を見分ける方法として、本文で紹介されている考え方はどれですか？,具体的な形があるかどうか,辞書に載っているかどうか,破片にしたときに名前が変わるかどうか,外来語かどうか,C,「破片にしたときに名前が変わってしまう名詞」は数えられる名詞、「破片にしても名前が変わらない名詞」は数えられない名詞と説明されています (例: pencil vs chalk)。復習はP15-P16を参照してください。,2,multiple_choice
E01-C00-01-005,eng-01,ch00,E01-C00-01,"単語 ""run"" (走る) の品詞は動詞です。なぜこれが動詞であると言えるのか、その理由を最もよく説明しているものはどれですか？",移動を表す言葉だから。,主語 (例: He runs) の動きを表す言葉だから。,名詞 (例: a long run) を修飾する言葉だから。,文頭で使われることが多いから。,B,"動詞の定義は「主語の動きや状態を表す言葉」です(P16)。""run"" は主語の「走る」という動きを表すため動詞です。選択肢Aは意味の説明、Cは名詞としての用法、Dは文法的な役割とは直接関係ありません。復習はP16-P17を参照してください。",2,multiple_choice
E01-C00-01-006,eng-01,ch00,E01-C00-01,「名詞を飾る(説明する)言葉」と定義される品詞は何ですか？,名詞,動詞,形容詞,副詞,C,形容詞は、名詞がどのようなものかを説明する役割を持ちます (例: large planet)。復習はP17-P18を参照してください。,1,multiple_choice
E01-C00-01-007,eng-01,ch00,E01-C00-01,"a beautiful flower という表現で、""beautiful"" はどの品詞に分類されますか？",名詞,動詞,形容詞,副詞,C,"beautiful は名詞 ""flower"" を「どのような花か」を説明(修飾)しているので、形容詞です。復習はP17-P18を参照してください。",1,multiple_choice
E01-C00-01-008,eng-01,ch00,E01-C00-01,「名詞以外を飾る(説明する)言葉」と定義される品詞は何ですか？,名詞,動詞,形容詞,副詞,D,副詞は、動詞、形容詞、他の副詞、文全体など、名詞以外の要素を説明(修飾)します (例: very beautiful)。復習はP18-P19を参照してください。,1,multiple_choice
E01-C00-01-009,eng-01,ch00,E01-C00-01,"He runs fast. という文で、""fast"" はどの品詞に分類されますか？",名詞,動詞,形容詞,副詞,D,"fast は動詞 ""runs"" を「どのように走るか」を説明(修飾)しているので、副詞です。復習はP18-P19を参照してください。",2,multiple_choice
E01-C00-01-010,eng-01,ch00,E01-C00-01,次の単語のうち、副詞に分類されるものはどれですか？,happy,quickly,student,play,B,"quickly (速く) は動詞を修飾することが多い副詞です。""happy"" は形容詞、""student"" は名詞、""play"" は動詞です。復習はP18-P19を参照してください。",1,multiple_choice
E01-C00-02-001,eng-01,ch00,E01-C00-02,次の名詞のうち、「数えられない名詞」はどれですか？,dog,desk,water,pencil,C,"water (水) は、少量にしても名前が変わらない物質名詞であり、数えられない名詞です。他は数えられます。復習はP15-P16, P21を参照してください。",1,multiple_choice
E01-C00-02-002,eng-01,ch00,E01-C00-02,次の名詞のうち、「数えられる名詞」はどれですか？,money,information,chalk,banana,D,"banana (バナナ) は1本、2本と数えることができ、破片にすると名前が変わるため、数えられる名詞です。他は数えられません。復習はP15-P16, P21を参照してください。",1,multiple_choice
E01-C00-02-003,eng-01,ch00,E01-C00-02,数えられる名詞が複数の場合、一般的にどのような形になりますか？,語尾に -ing が付く,語尾に -s または -es が付く,語頭に a や an が付く,形は変わらない,B,数えられる名詞の複数形は、通常、語尾に -s や -es を付けて作られます (例: dog → dogs)。復習はP15を参照してください。,1,multiple_choice
E01-C00-02-004,eng-01,ch00,E01-C00-02,「主語の動きや状態を表す言葉」と定義される品詞は何ですか？,名詞,動詞,形容詞,副詞,B,動詞は、文の主語が何をするか、どのような状態にあるかを示します (例: Mop played)。復習はP16を参照してください。,1,multiple_choice
E01-C00-02-005,eng-01,ch00,E01-C00-02,"単語 ""important"" の品詞は形容詞です。なぜこれが形容詞であると言えるのか、その理由を最もよく説明しているものはどれですか？",「重要」という意味を持つから。,動詞を修飾することがあるから。,important document のように名詞を修飾(説明)する働きがあるから。,文末で使われることが多いから。,C,"形容詞の定義は「名詞を飾る(説明する)言葉」です(P17)。""important"" は ""document"" (名詞) の性質を説明するため形容詞です。選択肢Aは意味の説明、Bは副詞の働き、Dは文法的役割とは直接関係ありません。復習はP17-P18, P21を参照してください。",2,multiple_choice
E01-C00-02-006,eng-01,ch00,E01-C00-02,"very large house という表現で、""very"" はどの品詞に分類されますか？",名詞,動詞,形容詞,副詞,D,"very は形容詞 ""large"" を「どの程度大きいか」を説明(修飾)しています。名詞以外(ここでは形容詞)を修飾するので副詞です。復習はP18-P19を参照してください。",2,multiple_choice
E01-C00-02-007,eng-01,ch00,E01-C00-02,次の単語のうち、形容詞に分類されるものはどれですか？,act,small,often,idea,B,"small (小さい) は名詞を修飾する形容詞です (例: small dog)。""act"" は動詞、""often"" は副詞、""idea"" は名詞です。復習はP17-P18を参照してください。",1,multiple_choice
E01-C00-02-008,eng-01,ch00,E01-C00-02,次の単語のうち、動詞に分類されるものはどれですか？,sleep,happy,mountain,always,A,"sleep (眠る) は主語の状態や動きを表す動詞です。""happy"" は形容詞、""mountain"" は名詞、""always"" は副詞です。復習はP16-P17を参照してください。",1,multiple_choice
E01-C00-02-009,eng-01,ch00,E01-C00-02,次の単語のうち、名詞に分類されるものはどれですか？,beautiful,live,fire,fast,C,"fire (炎) はモノの名前を表す名詞です。""beautiful"" は形容詞、""live"" は動詞、""fast"" は形容詞または副詞です。復習はP15を参照してください。",1,multiple_choice
E01-C00-02-010,eng-01,ch00,E01-C00-02,基本4品詞 (名詞・動詞・形容詞・副詞) 以外に、本文で例として挙げられている品詞はどれですか？,冠詞,助動詞,接続詞,上記すべて,D,本文P19では、代名詞、冠詞、前置詞、助動詞、接続詞、疑問詞がその他の品詞として挙げられています。復習はP19を参照してください。,1,multiple_choice
E01-C00-03-001,eng-01,ch00,E01-C00-03,"単語 ""desk"" の品詞は何ですか？",名詞,動詞,形容詞,副詞,A,desk (机) はモノの名前を表すので名詞です。復習はP15を参照してください。,1,multiple_choice
E01-C00-03-002,eng-01,ch00,E01-C00-03,"単語 ""live"" の品詞は何ですか？",名詞,動詞,形容詞,副詞,B,live (住んでいる、生きる) は主語の状態や動きを表すので動詞です。復習はP16を参照してください。,1,multiple_choice
E01-C00-03-003,eng-01,ch00,E01-C00-03,"単語 ""merry"" の品詞は何ですか？",名詞,動詞,形容詞,副詞,C,merry (陽気な) は名詞を修飾する (例: a merry person) ので形容詞です。復習はP17を参照してください。,1,multiple_choice
E01-C00-03-004,eng-01,ch00,E01-C00-03,"単語 ""often"" の品詞は何ですか？",名詞,動詞,形容詞,副詞,D,often (しばしば) は動詞の頻度などを修飾する (例: often visit) ので副詞です。復習はP18を参照してください。,1,multiple_choice
E01-C00-03-005,eng-01,ch00,E01-C00-03,"名詞 ""paper"" は数えられない名詞です。なぜこれが数えられない名詞であると言えるのか、その理由を最もよく説明しているものはどれですか？",薄くて軽いから。,抽象的な概念だから。,小さく破っても「紙」という名前が変わらない物質だから。,常に複数形で使われるから。,C,"本文P16, P21の解説によると、""paper"" はチョークと同様に、小さくしても名前が変わらない物質名詞と考えられるため、数えられない名詞とされます。選択肢Bは抽象名詞の説明であり、paperは物質名詞です。復習はP15-P16, P21を参照してください。",2,multiple_choice
E01-C00-03-006,eng-01,ch00,E01-C00-03,Mop played with Bean yesterday. という文で、主語はどれですか？,Mop,played,Bean,yesterday,A,主語は文の主人公で、日本語で「〜は」や「〜が」にあたる部分です。この文では「Mopは」が主語になります。主語になれるのは名詞です。復習はP16の補講を参照してください。,1,multiple_choice
E01-C00-03-007,eng-01,ch00,E01-C00-03,Mop played with Bean yesterday. という文で、動詞はどれですか？,Mop,played,Bean,yesterday,B,"動詞は主語の動きや状態を表します。この文では主語 ""Mop"" の行動「遊んだ」を表す ""played"" が動詞です。復習はP16-P17を参照してください。",1,multiple_choice
E01-C00-03-008,eng-01,ch00,E01-C00-03,形容詞が修飾する(飾る)品詞は何ですか？,名詞,動詞,形容詞,副詞,A,形容詞の定義は「名詞を飾る(説明する)言葉」です。復習はP17を参照してください。,1,multiple_choice
